Location,Camera_Install_Year,Latitude,Longitude,X,Y,January,Avg_Speed__2023_07_20,F85th_____2023_07_20,F_Compliance___2023_07_20,Avg_Speed___2023_08_20,F85th_____2023_08_20,F_Compliance___2023_08_20,Avg_Speed___2023_09_20,F85th_____2023_09_20,F_Compliance___2023_09_20,Avg_Speed___2023_10_20,F85th_____2023_10_20,F_Compliance___2023_10_20,Avg_Speed___2023_11_20,F85th_____2023_11_20,F_Compliance___2023_11_20,Avg_Speed___2023_12_20,F85th_____2023_12_20,F_Compliance___2023_12_20,Avg_Speed___2023_01_21,F85th_____2023_01_21,F_Compliance___2023_01_21,Avg_Speed___2023_02_21,F85th_____2023_02_21,F_Compliance___2023_02_21,Avg_Speed___2023_03_21,F85th_____2023_03_21,F_Compliance___2023_03_21,Avg_Speed___2023_04_21,F85th_____2023_04_21,F_Compliance___2023_04_21,Avg_Speed___2023_05_21,F85th_____2023_05_21,F_Compliance___2023_05_21,Avg_Speed___2023_06_21,F85th_____2023_06_21,F_Compliance___2023_06_21,Avg_Speed___2023_07_21,F85th_____2023_07_21,F_Compliance___2023_07_21,Avg_Speed___2023_08_21,F85th_____2023_08_21,F_Compliance___2023_08_21,Avg_Speed___2023_09_21,F85th_____2023_09_21,F_Compliance___2023_09_21,Avg_Speed___2023_10_21,F85th_____2023_10_21,F_Compliance___2023_10_21,Avg_Speed___2023_11_21,F85th_____2023_11_21,F_Compliance___2023_11_21,Avg_Speed___2023_12_21,F85th_____2023_12_21,F_Compliance___2023_12_21,Avg_Speed___2023_01_22,F85th_____2023_01_22,F_Compliance___2023_01_22,Avg_Speed___2023_02_22,F85th_____2023_02_22,F_Compliance___2023_02_22,Avg_Speed___2023_03_22,F85th_____2023_03_22,F_Compliance___2023_03_22,Avg_Speed___2023_04_22,F85th_____2023_04_22,F_Compliance___2023_04_22,Avg_Speed___2023_05_22,F85th_____2023_05_22,F_Compliance___2023_05_22,Avg_Speed___2023_06_22,F85th_____2023_06_22,F_Compliance___2023_06_22,Avg_Speed___2023_07_22,F85th_____2023_07_22,F_Compliance___2023_07_22,Avg_Speed___2023_08_22,F85th_____2023_08_22,F_Compliance___2023_08_22,Avg_Speed___2023_09_22,F85th_____2023_09_22,F_Compliance___2023_09_22,Avg_Speed___2023_10_22,F85th_____2023_10_22,F_Compliance___2023_10_22,Avg_Speed___2023_11_22,F85th_____2023_11_22,F_Compliance___2023_11_22,Avg_Speed___2023_12_22,F85th_____2023_12_22,F_Compliance___2023_12_22,Avg_Speed___2023_01_23,F85th_____2023_01_23,F_Compliance___2023_01_23,Avg_Speed___2023_02_23,F85th_____2023_02_23,F_Compliance___2023_02_23,Avg_Speed___2023_03_23,F85th_____2023_03_23,F_Compliance___2023_03_23,Avg_Speed___2023_04_23,F85th_____2023_04_23,F_Compliance___2023_04_23,Avg_Speed___2023_05_23,F85th_____2023_05_23,F_Compliance___2023_05_23,Avg_Speed___2023_06_23,F85th_____2023_06_23,F_Compliance___2023_06_23,Avg_Speed___2023_07_23,F85th_____2023_07_23,F_Compliance___2023_07_23,Avg_Speed___2023_08_23,F85th_____2023_08_23,F_Compliance___2023_08_23,Avg_Speed___2023_09_23,F85th_____2023_09_23,F_Compliance___2023_09_23,Avg_Speed___2023_10_23,F85th_____2023_10_23,F_Compliance___2023_10_23,Avg_Speed___2023_11_23,F85th_____2023_11_23,F_Compliance___2023_11_23,December,ObjectId
E011 - GREENBANK RD between HARRISON ST and BANNER RD ,2021,45.33408694,-75.78383463,360932.629,5021820.448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,67,62,59,67,63,58,66,65,0,0,0,59,66,64,58,65,67,57,64,71,57,64,73,56,63,76,56,63,77,55,62,80,56,62,79,56,63,78,56,62,79,56,62,79,56,62,78,57,63,77,56,62,78,55,62,81,55,61,82,55,61,84,TBD,11
E012 - ABBOTT ST E between MOSS HILL TRL and SHEA RD ,2021,45.26520237,-75.90999805,351100.048,5014085.381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,39,46,60,39,46,61,39,46,63,40,47,55,37,45,69,39,46,65,41,49,53,40,47,62,39,46,67,38,44,73,37,44,74,38,45,72,37,44,75,37,43,78,37,43,77,38,45,69,38,45,69,37,43,78,37,42,79,36,42,81,TBD,12
"E013 - ST-LAURENT, BOULEVARD between NORANDA AVE and CLARKE AVE ",2021,45.43843109,-75.64533439,371665.053,5033521.854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,58,58,50,58,58,50,57,60,49,57,61,50,57,62,49,56,65,49,56,65,48,56,67,47,55,71,47,53,75,47,54,75,48,54,73,47,54,74,47,53,75,47,53,75,48,54,72,47,54,73,47,53,77,47,53,77,46,52,80,TBD,13
E014 - TENTH LINE RD between AMIENS ST  and DES EPINETTES AVE ,2022,45.47178519,-75.49442704,383424.957,5037365.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,56,63,77,56,62,78,55,62,81,55,62,81,55,61,82,54,61,83,54,61,85,54,61,84,55,61,83,54,60,85,53,59,89,54,60,86,54,61,85,54,60,85,53,60,88,54,60,87,53,60,88,TBD,14
E015 - FISHER AVE between DEER PARK RD and KINTYRE PRIV ,2022,45.36465138,-75.71241514,366497.227,5025269.242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,58,57,49,57,60,48,56,65,47,55,68,47,55,69,48,56,67,47,55,69,47,54,71,47,54,70,48,55,67,48,55,69,46,53,76,46,53,77,46,52,79,TBD,15
E016 - KANATA AVE between GOULBOURN FORCED RD and WALDEN DR ,2022,45.32300041,-75.92470916,349899.766,5020499.927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,48,59,39,47,64,38,45,70,37,43,76,36,42,79,37,43,77,37,42,79,36,42,80,37,42,80,37,43,78,37,42,78,36,41,84,36,41,84,35,40,85,TBD,16
E017 - ABBEYHILL DR between ALDBURN PL and SHERWOOD ST ,2022,45.2949096,-75.88133355,353324.147,5017403.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,70,38,44,72,37,43,77,37,43,76,37,43,76,37,42,79,37,42,79,37,42,78,38,43,75,37,42,77,36,41,81,36,41,81,36,41,84,TBD,17
E018 - WOODROFFE AVE between GEORGINA DR and HWY417 IC127 RAMP36  ,2023,45.365,-75.77,361967.928,5025250.768,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,83,42,51,84,42,50,85,42,50,86,42,50,85,42,50,86,41,49,89,40,49,89,40,49,90,TBD,18
E019 - Bridgestone between Sunnybrook and Granite,2023,45.27853145,-75.85731771,355222.495,5015597.178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,85,36,41,84,36,40,86,35,39,91,35,39,90,35,40,88,TBD,19
E023 - Crestway between Oldfield and Hathaway,2023,45.28511742,-75.70957727,366806.441,5016432.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,50,55,42,51,48,42,51,49,40,47,63,40,46,66,39,45,69,TBD,20
